Subject,Day,Time,Cbratio
a,1,0,-0.4206
b,1,0,2.8213
c,1,0,1.6856
d,1,0,2.5496
e,1,0,-0.2166
f,1,0,0.6264
g,1,0,2.6196
h,1,0,1.4151
u,1,0,1.5372
j,1,0,3.0519
a,1,3,0.8022
b,1,3,0.8808
c,1,3,1.7003
d,1,3,2.5389
e,1,3,4.2829
f,1,3,2.9301
g,1,3,1.5804
h,1,3,3.527
u,1,3,2.5412
j,1,3,1.366
a,1,6,1.0138
b,1,6,1.8323
c,1,6,2.2673
d,1,6,3.0002
e,1,6,5.067
f,1,6,3.136
g,1,6,1.1866
h,1,6,1.8006
u,1,6,0.9667
j,1,6,2.9343
a,1,12,0.6337
b,1,12,0.8773
c,1,12,1.8006
d,1,12,-0.1375
e,1,12,-0.2819
f,1,12,3.4286
g,1,12,-0.1877
h,1,12,1.2105
u,1,12,1.2621
j,1,12,1.1877
a,1,24,-0.2447
b,1,24,0.6928
c,1,24,2.2336
d,1,24,2.0483
e,1,24,1.5125
f,1,24,1.9724
g,1,24,0.9293
h,1,24,0.8851
u,1,24,0.3801
j,1,24,2.0531
a,1,48,-0.8338
b,1,48,2.0869
c,1,48,1.7165
d,1,48,3.3376
e,1,48,-0.3909
f,1,48,1.4946
g,1,48,2.8525
h,1,48,0.0903
u,1,48,0.5532
j,1,48,0.4484
a,2,0,1.065
b,2,0,3.7657
c,2,0,0.6754
d,2,0,-0.1434
e,2,0,2.444
f,2,0,4.1995
g,2,0,1.6505
h,2,0,1.3268
u,2,0,0.5733
j,2,0,1.6055
a,2,3,0.6183
b,2,3,4.3614
c,2,3,0.1188
d,2,3,-0.4069
e,2,3,4.9125
f,2,3,3.6497
g,2,3,4.4539
h,2,3,2.8447
u,2,3,1.0007
j,2,3,1.4453
a,2,6,0.4491
b,2,6,3.4328
c,2,6,-0.1281
d,2,6,-0.4201
e,2,6,3.1235
f,2,6,1.5566
g,2,6,2.0516
h,2,6,3.2906
u,2,6,1.2987
j,2,6,3.0703
a,2,12,-0.2315
b,2,12,2.8996
c,2,12,-1.1539
d,2,12,0.001
e,2,12,-1.674
f,2,12,1.024
g,2,12,3.1562
h,2,12,1.2389
u,2,12,2.8227
j,2,12,1.318
a,2,24,0.052
b,2,24,0.6877
c,2,24,0.4253
d,2,24,-0.9158
e,2,24,5.1987
f,2,24,0.7537
g,2,24,1.1105
h,2,24,1.399
u,2,24,1.059
j,2,24,1.9805
a,2,48,-0.3036
b,2,48,0.6439
c,2,48,0.3103
d,2,48,0.0167
e,2,48,1.8357
f,2,48,-1.3244
g,2,48,0.5652
h,2,48,1.1931
u,2,48,0.8662
j,2,48,2.7495
a,3,0,0.1267
b,3,0,2.6992
c,3,0,2.1875
d,3,0,2.7144
e,3,0,3.5406
f,3,0,4.1566
g,3,0,2.1643
h,3,0,2.4449
u,3,0,0.3896
j,3,0,1.0111
a,3,3,1.101
b,3,3,2.8178
c,3,3,1.5756
d,3,3,1.314
e,3,3,2.6617
f,3,3,4.2088
g,3,3,0.6832
h,3,3,2.9394
u,3,3,1.4592
j,3,3,0.783
a,3,6,0.7304
b,3,6,3.2988
c,3,6,1.5039
d,3,6,2.065
e,3,6,0.2006
f,3,6,1.8395
g,3,6,0.3235
h,3,6,1.8757
u,3,6,1.1403
j,3,6,0.6049
a,3,12,-0.1124
b,3,12,1.7273
c,3,12,1.9109
d,3,12,1.4217
e,3,12,0.0758
f,3,12,-0.0393
g,3,12,0.9811
h,3,12,2.2601
u,3,12,0.9662
j,3,12,1.6122
a,3,24,-0.1045
b,3,24,2.7917
c,3,24,1.1289
d,3,24,1.9364
e,3,24,1.597
f,3,24,1.0182
g,3,24,0.831
h,3,24,1.4625
u,3,24,-0.3892
j,3,24,0.9668
a,3,48,-1.1196
b,3,48,0.1288
c,3,48,-0.6122
d,3,48,1.7029
e,3,48,1.9681
f,3,48,-1.9541
g,3,48,0.2649
h,3,48,0.5017
u,3,48,0.335
j,3,48,1.2005
a,4,0,-0.0283
b,4,0,1.4232
c,4,0,1.3845
d,4,0,-1.3135
e,4,0,5.3845
f,4,0,7.4729
g,4,0,2.8348
h,4,0,1.9882
u,4,0,0.2646
j,4,0,2.215
a,4,3,0.4367
b,4,3,1.9917
c,4,3,1.6613
d,4,3,0.0667
e,4,3,8.7016
f,4,3,2.7332
g,4,3,0.7978
h,4,3,1.6328
u,4,3,0.498
j,4,3,1.5585
a,4,6,0.6526
b,4,6,1.3893
c,4,6,1.2478
d,4,6,0.0287
e,4,6,1.0022
f,4,6,2.3779
g,4,6,1.4816
h,4,6,1.3149
u,4,6,0.0293
j,4,6,1.297
a,4,12,0.5385
b,4,12,1.2255
c,4,12,0.7854
d,4,12,0.7692
e,4,12,0.4524
f,4,12,1.2922
g,4,12,1.9862
h,4,12,0.4342
u,4,12,-0.354
j,4,12,1.4116
a,4,24,0.2722
b,4,24,-0.0685
c,4,24,0.2797
d,4,24,0.6197
e,4,24,-0.845
f,4,24,2.4909
g,4,24,3.4548
h,4,24,0.1107
u,4,24,1.2196
j,4,24,0.0191
a,4,48,1.0976
b,4,48,0.8245
c,4,48,0.0047
d,4,48,-0.5882
e,4,48,-2.3737
f,4,48,2.5199
g,4,48,3.2057
h,4,48,0.1791
u,4,48,0.6709
j,4,48,1.1547
a,5,0,2.4188
b,5,0,0.7213
c,5,0,1.7577
d,5,0,-1.1438
e,5,0,2.557
f,5,0,4.7917
g,5,0,2.9312
h,5,0,3.3016
u,5,0,-0.5019
j,5,0,1.6783
a,5,3,1.7629
b,5,3,1.9547
c,5,3,1.677
d,5,3,-0.5093
e,5,3,0.2692
f,5,3,3.3816
g,5,3,2.7515
h,5,3,2.9773
u,5,3,0.6566
j,5,3,0.0176
a,5,6,1.9116
b,5,6,1.897
c,5,6,1.6959
d,5,6,-2.876
e,5,6,1.2374
f,5,6,2.1527
g,5,6,1.2711
h,5,6,1.5852
u,5,6,0.7977
j,5,6,0.4974
a,5,12,0.6093
b,5,12,2.0137
c,5,12,1.451
d,5,12,0.3506
e,5,12,0.6003
f,5,12,0.7967
g,5,12,0.9838
h,5,12,1.6377
u,5,12,0.5762
j,5,12,2.4612
a,5,24,0.8108
b,5,24,2.1031
c,5,24,1.8474
d,5,24,-0.7297
e,5,24,0.8431
f,5,24,0.9177
g,5,24,0.3953
h,5,24,1.549
u,5,24,0.3019
j,5,24,-0.4467
a,5,48,0.3633
b,5,48,1.2547
c,5,48,0.5322
d,5,48,0.8363
e,5,48,-0.2857
f,5,48,-0.1465
g,5,48,-0.1438
h,5,48,0.6174
u,5,48,0.0113
j,5,48,1.4831
